color_string,hex,starttime,time_stamp
blackish purple,#3a142d,2020-02-10 22:13:14.000000,2020-02-10 22:13:31.197836
,#130568,,2020-02-10 22:13:52.573427
violet,#130568,2020-02-10 22:13:52.000000,2020-02-10 22:13:54.631670
turquoise blue,#130568,2020-02-10 22:13:54.000000,2020-02-10 22:13:58.552940
pale yellow,#130568,2020-02-10 22:13:58.000000,2020-02-10 22:13:58.905857
greenish-blue,#130568,2020-02-10 22:13:58.000000,2020-02-10 22:13:59.060977
purple-blue,#130568,2020-02-10 22:13:59.000000,2020-02-10 22:14:01.889814
black purple,#130568,2020-02-10 22:14:01.000000,2020-02-10 22:14:03.739655
dark rose,#130568,2020-02-10 22:14:03.000000,2020-02-10 22:14:04.783090
cyan,#14056f,2020-02-10 22:14:04.000000,2020-02-10 22:14:26.602104
brown-red,#14056f,2020-02-10 22:14:26.000000,2020-02-10 22:14:33.808083
turquoise blue,#100266,2020-02-10 22:14:33.000000,2020-02-10 22:15:02.453262
green blue,#089c8f,2020-02-10 22:15:04.000000,2020-02-10 22:15:47.128009
pale straw,#d6d290,2020-02-10 22:15:47.000000,2020-02-10 22:16:02.928173
dark blue,#063d94,2020-02-10 22:16:02.000000,2020-02-10 22:16:15.225550
jonquil,#ecea05,2020-02-10 22:16:15.000000,2020-02-10 22:16:47.566717
dark purple,#160277,2020-02-10 22:16:47.000000,2020-02-10 22:16:53.509928
deep brown,#703d02,2020-02-11 09:24:37.000000,2020-02-11 09:25:14.293713
jasmine,#a65345,2020-02-11 09:25:14.000000,2020-02-11 09:25:25.205321
black green,#293421,2020-02-11 09:25:25.000000,2020-02-11 09:25:46.153669
yellowish white,#d9ea09,2020-02-11 09:25:46.000000,2020-02-11 09:26:03.512169
violet-red,#b34978,2020-02-11 09:26:03.000000,2020-02-11 09:26:22.169945
pale pink,#ffb8e5,2020-02-11 12:19:28.000000,2020-02-11 12:19:42.870815
bright yellow,#ffb600,2020-02-11 12:19:42.000000,2020-02-11 12:20:29.449676
magenta,#eb1aca,2020-02-11 12:20:29.000000,2020-02-11 12:20:42.196944
deep brown,#5d4439,2020-02-11 12:20:42.000000,2020-02-11 12:20:57.671285
pale-yellow,#feffa0,2020-02-11 12:20:57.000000,2020-02-11 12:21:28.761542
