name,primary_amide_sum,secondary_amide_sum,tertiary_amide_sum,ester_sum,carbonyl_sum,logP_sum,MR_sum,dbratio_sum,aromatic_rings_sum,dbonds_sum,abonds_sum,primary_amide_mean,secondary_amide_mean,tertiary_amide_mean,ester_mean,carbonyl_mean,logP_mean,MR_mean,dbratio_mean,aromatic_rings_mean,dbonds_mean,abonds_mean
MODNUO_ion_b,0.0,0.0,0.0,0.0,0.0,0.01678,5.6129999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01678,5.6129999999999995,0.0,0.0,0.0,0.0
CUPHUS_clean,0.0,0.0,0.0,0.0,0.0,2.1436,47.46800000000001,-0.9,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.1436,47.46800000000001,-0.9,2.0,0.0,12.0
j.inoche.2015.01.025_INC05862-mmc1_clean,0.0,0.0,0.0,1.0,1.0,-1.52635,34.286699999999996,-0.4444444444444444,0.5,2.5,3.0,0.0,0.0,0.0,1.0,1.0,-1.52635,34.286699999999996,-0.4444444444444444,0.5,2.5,3.0
SARMII_clean,0.0,0.0,0.0,2.0,2.0,-0.43320000000000025,53.98200000000001,-0.9285714285714286,2.0,2.0,11.0,0.0,0.0,0.0,2.0,2.0,-0.43320000000000025,53.98200000000001,-0.9285714285714286,2.0,2.0,11.0
HUZXIL_clean,0.0,0.0,0.0,1.5,1.5,2.1730750000000016,90.16012500000001,-0.9445833333333333,2.75,1.5,16.5,0.0,0.0,0.0,1.5,1.5,2.1730750000000016,90.16012500000001,-0.9445833333333333,2.75,1.5,16.5
TOHPUC_clean,0.0,0.0,0.0,0.0,0.0,1.5599999999999994,54.478,-0.8333333333333334,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.5599999999999994,54.478,-0.8333333333333334,2.0,0.0,10.0
PASKAX_clean,0.0,0.0,0.0,1.0,1.0,0.5775999999999993,63.44550000000001,-0.9087301587301587,2.5,1.0,13.5,0.0,0.0,0.0,1.0,1.0,0.5775999999999993,63.44550000000001,-0.9087301587301587,2.5,1.0,13.5
DONXUB_clean,0.0,0.0,0.0,0.0,0.0,0.8060999999999998,28.041200000000003,-0.4285714285714286,1.5,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.8060999999999998,28.041200000000003,-0.4285714285714286,1.5,1.0,7.0
GEGSIW_clean,0.0,0.0,0.0,2.0,2.0,-2.2055,50.229,-0.8888888888888888,2.0,2.0,11.0,0.0,0.0,0.0,2.0,2.0,-2.2055,50.229,-0.8888888888888888,2.0,2.0,11.0
VAHQAY_clean,0.0,0.0,0.0,1.0,1.0,1.1121,54.69000000000001,-0.9230769230769231,2.0,1.0,12.0,0.0,0.0,0.0,1.0,1.0,1.1121,54.69000000000001,-0.9230769230769231,2.0,1.0,12.0
TIXMET_clean,0.0,0.0,0.0,0.0,0.0,0.3115499999999999,10.02025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3115499999999999,10.02025,0.0,0.0,1.0,0.0
UMODEH24_clean,0.0,0.0,0.0,4.0,4.0,4.273000000000005,196.2879999999998,-0.9791666666666666,6.0,4.0,36.0,0.0,0.0,0.0,4.0,4.0,4.273000000000005,196.2879999999998,-0.9791666666666666,6.0,4.0,36.0
BUDDIO_clean,0.0,0.0,0.0,2.0,2.0,-1.1294000000000002,57.50200000000001,-0.9166666666666666,2.0,2.0,12.0,0.0,0.0,0.0,2.0,2.0,-1.1294000000000002,57.50200000000001,-0.9166666666666666,2.0,2.0,12.0
