color_string,hex,starttime,time_stamp,delta_t,delta_t_seconds,r,g,b,clean_name
claybank,#343D3B,2020-02-18 15:15:10.000000,2020-02-18 15:15:14.726727,0 days 00:00:04.726727000,4.726727,52,61,59,claybank
blue,#141dc5,2020-02-18 15:15:06.000000,2020-02-18 15:15:18.358837,0 days 00:00:12.358837000,12.358837,20,29,197,blue
reddish brown,#953107,2020-02-18 15:14:53.000000,2020-02-18 15:15:23.603453,0 days 00:00:30.603453000,30.603453,149,49,7,reddish brown
purple-red,#ec336e,2020-02-18 15:15:14.000000,2020-02-18 15:15:39.987954,0 days 00:00:25.987954000,25.987954,236,51,110,purple red
green-yellow,#c6f935,2020-02-18 15:15:18.000000,2020-02-18 15:15:41.152522,0 days 00:00:23.152522000,23.152522,198,249,53,green yellow
pale yellow,#dcf759,2020-02-18 15:15:23.000000,2020-02-18 15:15:42.540948,0 days 00:00:19.540948000,19.540948,220,247,89,pale yellow
golden yellow,#f6db11,2020-02-18 15:15:09.000000,2020-02-18 15:15:45.538561,0 days 00:00:36.538561000,36.538561,246,219,17,golden yellow
rose,#ca6361,2020-02-18 15:15:23.000000,2020-02-18 15:15:46.721561,0 days 00:00:23.721561000,23.721561,202,99,97,rose
intense violet,#a20ac2,2020-02-18 15:15:45.000000,2020-02-18 15:15:58.209080,0 days 00:00:13.209080000,13.20908,162,10,194,intense violet
yellowish,#fdee9e,2020-02-18 15:15:39.000000,2020-02-18 15:15:59.090082,0 days 00:00:20.090082000,20.090082,253,238,158,yellowish
dark green,#094103,2020-02-18 15:15:58.000000,2020-02-18 15:16:12.294255,0 days 00:00:14.294255000,14.294255,9,65,3,dark green
translucent,#f0ecf7,2020-02-18 15:15:42.000000,2020-02-18 15:16:13.702735,0 days 00:00:31.702735000,31.702735,240,236,247,translucent
dark brown,#5d4e48,2020-02-18 15:15:46.000000,2020-02-18 15:16:18.006421,0 days 00:00:32.006421000,32.006421,93,78,72,dark brown
pale brown,#753a01,2020-02-18 15:15:46.000000,2020-02-18 15:16:20.248910,0 days 00:00:34.248910000,34.24891,117,58,1,pale brown
pale straw,#f3e39c,2020-02-18 15:14:47.000000,2020-02-18 15:16:21.076884,0 days 00:01:34.076884000,94.076884,243,227,156,pale straw
pale red,#eec5c5,2020-02-18 15:15:59.000000,2020-02-18 15:16:24.912238,0 days 00:00:25.912238000,25.912238,238,197,197,pale red
white,#ffffff,2020-02-18 15:16:18.000000,2020-02-18 15:16:32.806583,0 days 00:00:14.806583000,14.806583,255,255,255,white
green blue,#7ff8d4,2020-02-18 15:16:12.000000,2020-02-18 15:16:46.681298,0 days 00:00:34.681298000,34.681298,127,248,212,green blue
flavescens,#d5ff00,2020-02-18 15:15:41.000000,2020-02-18 15:16:51.983976,0 days 00:01:10.983976000,70.983976,213,255,0,flavescens
black brown,#574a49,2020-02-18 15:16:32.000000,2020-02-18 15:17:02.828475,0 days 00:00:30.828475000,30.828475,87,74,73,black brown
bluish violet,#6a2cb7,2020-02-18 15:16:21.000000,2020-02-18 15:17:06.365427,0 days 00:00:45.365427000,45.365427,106,44,183,bluish violet
pink-red,#cb0346,2020-02-18 15:16:46.000000,2020-02-18 15:17:08.494819,0 days 00:00:22.494819000,22.494819,203,3,70,pink red
greenish-yellow,#c5ee0e,2020-02-18 15:16:51.000000,2020-02-18 15:17:22.104461,0 days 00:00:31.104461000,31.104461,197,238,14,greenish yellow
greenish-blue,#06bba5,2020-02-18 15:16:20.000000,2020-02-18 15:17:23.781291,0 days 00:01:03.781291000,63.781291,6,187,165,greenish blue
greenish-blue,#3ad7b5,2020-02-18 15:17:06.000000,2020-02-18 15:17:26.414917,0 days 00:00:20.414917000,20.414917,58,215,181,greenish blue
greenish-yellow,#b0ba68,2020-02-18 15:17:02.000000,2020-02-18 15:17:28.825617,0 days 00:00:26.825617000,26.825617,176,186,104,greenish yellow
dark orange,#492503,2020-02-18 15:17:23.000000,2020-02-18 15:17:41.937396,0 days 00:00:18.937396000,18.937396,73,37,3,dark orange
aquamarine,#3b90d0,2020-02-18 15:17:28.000000,2020-02-18 15:17:46.533272,0 days 00:00:18.533272000,18.533272,59,144,208,aquamarine
black red,#770005,2020-02-18 15:17:26.000000,2020-02-18 15:17:48.599114,0 days 00:00:22.599114000,22.599114,119,0,5,black red
dark green,#073d01,2020-02-18 15:17:41.000000,2020-02-18 15:17:51.966040,0 days 00:00:10.966040000,10.96604,7,61,1,dark green
bluish violet,#892de6,2020-02-18 15:17:48.000000,2020-02-18 15:18:03.434246,0 days 00:00:15.434246000,15.434246,137,45,230,bluish violet
turquoise,#58e2fa,2020-02-18 15:17:40.000000,2020-02-18 15:18:03.957746,0 days 00:00:23.957746000,23.957746,88,226,250,turquoise
light brown,#995701,2020-02-18 15:18:03.000000,2020-02-18 15:18:34.484082,0 days 00:00:31.484082000,31.484082,153,87,1,light brown
navy blue,#031fb8,2020-02-18 15:18:34.000000,2020-02-18 15:18:52.571970,0 days 00:00:18.571970000,18.57197,3,31,184,navy blue
greenish green,#65f707,2020-02-18 15:18:52.000000,2020-02-18 15:19:15.516078,0 days 00:00:23.516078000,23.516078,101,247,7,greenish green
light yellow,#fafcc2,2020-02-18 15:19:15.000000,2020-02-18 15:19:49.349452,0 days 00:00:34.349452000,34.349452,250,252,194,light yellow
brown-yellow,#cfa537,2020-02-18 15:20:23.000000,2020-02-18 15:21:09.954986,0 days 00:00:46.954986000,46.954986,207,165,55,brown yellow
ruby red,#ab3446,2020-02-18 15:21:18.000000,2020-02-18 15:21:42.608649,0 days 00:00:24.608649000,24.608649,171,52,70,ruby red
green/brown,#727f53,2020-02-18 15:21:09.000000,2020-02-18 15:21:44.433990,0 days 00:00:35.433990000,35.43399,114,127,83,green/brown
dark pink,#a7187f,2020-02-18 15:21:42.000000,2020-02-18 15:21:55.888625,0 days 00:00:13.888625000,13.888625,167,24,127,dark pink
beige,#d6bb98,2020-02-18 15:21:00.000000,2020-02-18 15:21:56.128255,0 days 00:00:56.128255000,56.128255,214,187,152,beige
light green,#92fda8,2020-02-18 15:21:44.000000,2020-02-18 15:21:59.814258,0 days 00:00:15.814258000,15.814258,146,253,168,light green
intense violet,#9700ff,2020-02-18 15:21:59.000000,2020-02-18 15:22:10.478195,0 days 00:00:11.478195000,11.478195,151,0,255,intense violet
dark pink,#c8149f,2020-02-18 15:21:55.000000,2020-02-18 15:22:14.479020,0 days 00:00:19.479020000,19.47902,200,20,159,dark pink
intense purple,#e80da4,2020-02-18 15:21:56.000000,2020-02-18 15:22:16.641673,0 days 00:00:20.641673000,20.641673,232,13,164,intense purple
blue violet,#986bd0,2020-02-18 15:22:14.000000,2020-02-18 15:22:34.331026,0 days 00:00:20.331026000,20.331026,152,107,208,blue violet
buff,#fca955,2020-02-18 15:22:10.000000,2020-02-18 15:22:39.403578,0 days 00:00:29.403578000,29.403578,252,169,85,buff
red-black,#9b1317,2020-02-18 15:22:34.000000,2020-02-18 15:22:43.732380,0 days 00:00:09.732380000,9.73238,155,19,23,red black
purple,#e414b6,2020-02-18 15:22:16.000000,2020-02-18 15:22:47.222452,0 days 00:00:31.222452000,31.222452,228,20,182,purple
deep brown,#160c0c,2020-02-18 15:22:00.000000,2020-02-18 15:22:56.144256,0 days 00:00:56.144256000,56.144256,22,12,12,deep brown
translucent,#efe7e8,2020-02-18 15:22:47.000000,2020-02-18 15:23:01.616908,0 days 00:00:14.616908000,14.616908,239,231,232,translucent
white,#ffffff,2020-02-18 15:22:56.000000,2020-02-18 15:23:04.548118,0 days 00:00:08.548118000,8.548118,255,255,255,white
orange yellow,#f9b803,2020-02-18 15:23:01.000000,2020-02-18 15:23:23.949008,0 days 00:00:22.949008000,22.949008,249,184,3,orange yellow
pink-purple,#b10ebc,2020-02-18 15:23:04.000000,2020-02-18 15:23:42.876382,0 days 00:00:38.876382000,38.876382,177,14,188,pink purple
blue green,#0ae9c1,2020-02-18 15:23:42.000000,2020-02-18 15:25:07.632203,0 days 00:01:25.632203000,85.632203,10,233,193,blue green
yellow green,#9cca18,2020-02-18 15:25:07.000000,2020-02-18 15:25:23.636185,0 days 00:00:16.636185000,16.636185,156,202,24,yellow green
dark-red,#872813,2020-02-18 15:24:57.000000,2020-02-18 15:26:02.224553,0 days 00:01:05.224553000,65.224553,135,40,19,dark red
bluish violet,#480aca,2020-02-18 15:26:02.000000,2020-02-18 15:27:04.250879,0 days 00:01:02.250879000,62.250879,72,10,202,bluish violet
yellow-orange,#f3ad10,2020-02-18 15:27:04.000000,2020-02-18 15:28:43.301208,0 days 00:01:39.301208000,99.301208,243,173,16,yellow orange
blue green,#02ded6,2020-02-18 15:27:38.000000,2020-02-18 15:28:59.089488,0 days 00:01:21.089488000,81.089488,2,222,214,blue green
dark-red,#a51f0a,2020-02-18 15:28:43.000000,2020-02-18 15:29:31.170263,0 days 00:00:48.170263000,48.170263,165,31,10,dark red
red-black,#2a0002,2020-02-18 15:28:59.000000,2020-02-18 15:30:10.735440,0 days 00:01:11.735440000,71.73544,42,0,2,red black
black purple,#450352,2020-02-18 15:29:31.000000,2020-02-18 15:30:16.796521,0 days 00:00:45.796521000,45.796521,69,3,82,black purple
dark red,#9c0104,2020-02-18 15:30:10.000000,2020-02-18 15:31:03.775416,0 days 00:00:53.775416000,53.775416,156,1,4,dark red
white,#ffffff,2020-02-18 15:31:03.000000,2020-02-18 15:31:43.142409,0 days 00:00:40.142409000,40.142409,255,255,255,white
dark orange,#f04703,2020-02-18 15:31:23.000000,2020-02-18 15:32:13.716929,0 days 00:00:50.716929000,50.716929,240,71,3,dark orange
pink-violet,#e78dfb,2020-02-18 15:32:00.000000,2020-02-18 15:32:21.081867,0 days 00:00:21.081867000,21.081867,231,141,251,pink violet
dark-violet,#522d9d,2020-02-18 15:32:13.000000,2020-02-18 15:32:31.723351,0 days 00:00:18.723351000,18.723351,82,45,157,dark violet
bluish violet,#5b00ff,2020-02-18 15:32:21.000000,2020-02-18 15:32:34.863750,0 days 00:00:13.863750000,13.86375,91,0,255,bluish violet
pale violet,#e3b7fc,2020-02-18 15:31:43.000000,2020-02-18 15:32:39.259539,0 days 00:00:56.259539000,56.259539,227,183,252,pale violet
turquoise,#00fffc,2020-02-18 15:32:34.000000,2020-02-18 15:32:45.899768,0 days 00:00:11.899768000,11.899768,0,255,252,turquoise
orange,#fcf68c,2020-02-18 15:31:39.000000,2020-02-18 15:32:57.993159,0 days 00:01:18.993159000,78.993159,252,246,140,orange
green-yellow,#b2ff00,2020-02-18 15:32:45.000000,2020-02-18 15:32:58.282877,0 days 00:00:13.282877000,13.282877,178,255,0,green yellow
amber,#d9aa14,2020-02-18 15:31:49.000000,2020-02-18 15:33:00.302665,0 days 00:01:11.302665000,71.302665,217,170,20,amber
deep yellow,#f9af08,2020-02-18 15:32:31.000000,2020-02-18 15:33:05.642309,0 days 00:00:34.642309000,34.642309,249,175,8,deep yellow
light green,#8dff99,2020-02-18 15:32:58.000000,2020-02-18 15:33:11.288253,0 days 00:00:13.288253000,13.288253,141,255,153,light green
straw yellow,#ddb716,2020-02-18 15:32:30.000000,2020-02-18 15:33:15.836416,0 days 00:00:45.836416000,45.836416,221,183,22,straw yellow
green-black,#064c06,2020-02-18 15:33:05.000000,2020-02-18 15:33:20.321740,0 days 00:00:15.321740000,15.32174,6,76,6,green black
blue green,#2a443c,2020-02-18 15:32:57.000000,2020-02-18 15:33:39.569588,0 days 00:00:42.569588000,42.569588,42,68,60,blue green
dark red,#aa0404,2020-02-18 15:33:20.000000,2020-02-18 15:33:40.868755,0 days 00:00:20.868755000,20.868755,170,4,4,dark red
deep green,#a1fea5,2020-02-18 15:33:39.000000,2020-02-18 15:34:06.099796,0 days 00:00:27.099796000,27.099796,161,254,165,deep green
purple black,#330742,2020-02-18 15:33:00.000000,2020-02-18 15:34:24.256812,0 days 00:01:24.256812000,84.256812,51,7,66,purple black
pale red,#f9c9c8,2020-02-18 15:34:24.000000,2020-02-18 15:34:59.366827,0 days 00:00:35.366827000,35.366827,249,201,200,pale red
white,#f8fbfb,2020-02-18 15:32:46.000000,2020-02-18 15:35:00.471169,0 days 00:02:14.471169000,134.471169,248,251,251,white
flavescens,#f2f1f7,2020-02-18 15:34:06.000000,2020-02-18 15:35:35.479161,0 days 00:01:29.479161000,89.479161,242,241,247,flavescens
aquamarine,#4167d4,2020-02-18 15:35:35.000000,2020-02-18 15:35:50.750588,0 days 00:00:15.750588000,15.750588,65,103,212,aquamarine
green blue,#07adad,2020-02-18 15:35:00.000000,2020-02-18 15:36:10.886849,0 days 00:01:10.886849000,70.886849,7,173,173,green blue
primrose yellow,#fdff2e,2020-02-18 15:34:59.000000,2020-02-18 15:36:23.896290,0 days 00:01:24.896290000,84.89629,253,255,46,primrose yellow
light violet,#ac81b9,2020-02-18 15:36:10.000000,2020-02-18 15:36:45.709208,0 days 00:00:35.709208000,35.709208,172,129,185,light violet
amber,#db9e0c,2020-02-18 15:36:23.000000,2020-02-18 15:37:11.796985,0 days 00:00:48.796985000,48.796985,219,158,12,amber
flavescens,#f0df42,2020-02-18 15:36:45.000000,2020-02-18 15:37:23.976615,0 days 00:00:38.976615000,38.976615,240,223,66,flavescens
deep purple,#29045e,2020-02-18 15:37:23.000000,2020-02-18 15:37:45.950883,0 days 00:00:22.950883000,22.950883,41,4,94,deep purple
light orange,#f1db7c,2020-02-18 15:43:25.000000,2020-02-18 15:44:02.759822,0 days 00:00:37.759822000,37.759822,241,219,124,light orange
black,#000000,2020-02-18 15:43:45.000000,2020-02-18 15:44:02.969182,0 days 00:00:17.969182000,17.969182,0,0,0,black
white,#ffffff,2020-02-18 15:43:52.000000,2020-02-18 15:44:07.045444,0 days 00:00:15.045444000,15.045444,255,255,255,white
pale brown,#e5be95,2020-02-18 15:43:40.000000,2020-02-18 15:44:09.894019,0 days 00:00:29.894019000,29.894019,229,190,149,pale brown
aquamarine,#79ccf8,2020-02-18 15:44:02.000000,2020-02-18 15:44:14.050189,0 days 00:00:12.050189000,12.050189,121,204,248,aquamarine
dark red,#500f0d,2020-02-18 15:44:07.000000,2020-02-18 15:44:15.131781,0 days 00:00:08.131781000,8.131781,80,15,13,dark red
jasmine,#c7ebce,2020-02-18 15:43:58.000000,2020-02-18 15:44:15.798543,0 days 00:00:17.798543000,17.798543,199,235,206,jasmine
peach,#aa6f08,2020-02-18 15:44:11.000000,2020-02-18 15:44:21.352187,0 days 00:00:10.352187000,10.352187,170,111,8,peach
pink/purple,#af7ad8,2020-02-18 15:44:09.000000,2020-02-18 15:44:23.851813,0 days 00:00:14.851813000,14.851813,175,122,216,pink/purple
violet-red,#dd1776,2020-02-18 15:43:30.000000,2020-02-18 15:44:23.986536,0 days 00:00:53.986536000,53.986536,221,23,118,violet red
aubergine,#290a61,2020-02-18 15:44:13.000000,2020-02-18 15:44:28.591032,0 days 00:00:15.591032000,15.591032,41,10,97,aubergine
green yellow,#d7f259,2020-02-18 15:43:52.000000,2020-02-18 15:44:29.039896,0 days 00:00:37.039896000,37.039896,215,242,89,green yellow
white,#ffffff,2020-02-18 15:44:23.000000,2020-02-18 15:44:29.362612,0 days 00:00:06.362612000,6.362612,255,255,255,white
pale-yellow,#fefe95,2020-02-18 15:44:04.000000,2020-02-18 15:44:29.803572,0 days 00:00:25.803572000,25.803572,254,254,149,pale yellow
pale blue,#6fd4e3,2020-02-18 15:44:03.000000,2020-02-18 15:44:29.833542,0 days 00:00:26.833542000,26.833542,111,212,227,pale blue
pink-red,#8b144c,2020-02-18 15:44:21.000000,2020-02-18 15:44:29.915119,0 days 00:00:08.915119000,8.915119,139,20,76,pink red
pale blue,#6fd4e3,2020-02-18 15:44:03.000000,2020-02-18 15:44:29.944932,0 days 00:00:26.944932000,26.944932,111,212,227,pale blue
cherry red,#d31114,2020-02-18 15:44:05.000000,2020-02-18 15:44:32.140145,0 days 00:00:27.140145000,27.140145,211,17,20,cherry red
black,#000000,2020-02-18 15:44:29.000000,2020-02-18 15:44:33.341422,0 days 00:00:04.341422000,4.341422,0,0,0,black
pale violet,#26B098,2020-02-18 15:44:29.000000,2020-02-18 15:44:34.574627,0 days 00:00:05.574627000,5.574627,38,176,152,pale violet
red,#fb0101,2020-02-18 15:44:23.000000,2020-02-18 15:44:35.990479,0 days 00:00:12.990479000,12.990479,251,1,1,red
deep green,#849724,2020-02-18 15:44:34.000000,2020-02-18 15:44:36.462821,0 days 00:00:02.462821000,2.462821,132,151,36,deep green
dark yellow,#d3c819,2020-02-18 15:44:15.000000,2020-02-18 15:44:36.583694,0 days 00:00:21.583694000,21.583694,211,200,25,dark yellow
dull dark black,#000008,2020-02-18 15:44:15.000000,2020-02-18 15:44:37.793224,0 days 00:00:22.793224000,22.793224,0,0,8,dull dark black
light orange,#CF19AB,2020-02-18 15:44:36.000000,2020-02-18 15:44:38.729815,0 days 00:00:02.729815000,2.729815,207,25,171,light orange
courless,#82C8C3,2020-02-18 15:44:15.000000,2020-02-18 15:44:39.419027,0 days 00:00:24.419027000,24.419027,130,200,195,courless
white,#ffffff,2020-02-18 15:44:35.000000,2020-02-18 15:44:41.378925,0 days 00:00:06.378925000,6.378925,255,255,255,white
mauve,#824daf,2020-02-18 15:44:29.000000,2020-02-18 15:44:43.512918,0 days 00:00:14.512918000,14.512918,130,77,175,mauve
light purple,#c59cfc,2020-02-18 15:44:29.000000,2020-02-18 15:44:43.982256,0 days 00:00:14.982256000,14.982256,197,156,252,light purple
buff,#f0daad,2020-02-18 15:44:09.000000,2020-02-18 15:44:44.184661,0 days 00:00:35.184661000,35.184661,240,218,173,buff
green-yellow,#ccf041,2020-02-18 15:44:08.000000,2020-02-18 15:44:44.679465,0 days 00:00:36.679465000,36.679465,204,240,65,green yellow
light brown,#9e4130,2020-02-18 15:44:13.000000,2020-02-18 15:44:44.869993,0 days 00:00:31.869993000,31.869993,158,65,48,light brown
aubergine,#6638e6,2020-02-18 15:44:29.000000,2020-02-18 15:44:47.693537,0 days 00:00:18.693537000,18.693537,102,56,230,aubergine
blackish purple,#280037,2020-02-18 15:44:33.000000,2020-02-18 15:44:47.947574,0 days 00:00:14.947574000,14.947574,40,0,55,blackish purple
grey,#808080,2020-02-18 15:44:28.000000,2020-02-18 15:44:48.118057,0 days 00:00:20.118057000,20.118057,128,128,128,grey
green-brown,#7c8942,2020-02-18 15:44:36.000000,2020-02-18 15:44:48.254812,0 days 00:00:12.254812000,12.254812,124,137,66,green brown
green-blue,#3ccb98,2020-02-18 15:44:23.000000,2020-02-18 15:44:48.715435,0 days 00:00:25.715435000,25.715435,60,203,152,green blue
intense purple,#f504f5,2020-02-18 15:44:27.000000,2020-02-18 15:44:48.973677,0 days 00:00:21.973677000,21.973677,245,4,245,intense purple
deep blue,#150363,2020-02-18 15:44:43.000000,2020-02-18 15:44:49.692593,0 days 00:00:06.692593000,6.692593,21,3,99,deep blue
gray,#a1a1a1,2020-02-18 15:44:41.000000,2020-02-18 15:44:50.972057,0 days 00:00:09.972057000,9.972057,161,161,161,gray
lavender,#7553ff,2020-02-18 15:44:39.000000,2020-02-18 15:44:52.564466,0 days 00:00:13.564466000,13.564466,117,83,255,lavender
white,#ffffff,2020-02-18 15:44:44.000000,2020-02-18 15:44:54.968618,0 days 00:00:10.968618000,10.968618,255,255,255,white
dark-blue,#030715,2020-02-18 15:44:43.000000,2020-02-18 15:44:55.347060,0 days 00:00:12.347060000,12.34706,3,7,21,dark blue
dark turquiose,#009d91,2020-02-18 15:44:29.000000,2020-02-18 15:44:55.981031,0 days 00:00:26.981031000,26.981031,0,157,145,dark turquiose
purple,#e30cd3,2020-02-18 15:44:40.000000,2020-02-18 15:44:56.148298,0 days 00:00:16.148298000,16.148298,227,12,211,purple
claybank,#ba4210,2020-02-18 15:44:28.000000,2020-02-18 15:44:58.063472,0 days 00:00:30.063472000,30.063472,186,66,16,claybank
deep yellow,#f4cf13,2020-02-18 15:44:44.000000,2020-02-18 15:44:58.222288,0 days 00:00:14.222288000,14.222288,244,207,19,deep yellow
deep-blue,#490ab5,2020-02-18 15:44:44.000000,2020-02-18 15:44:58.747346,0 days 00:00:14.747346000,14.747346,73,10,181,deep blue
dark pink,#371337,2020-02-18 15:44:37.000000,2020-02-18 15:44:59.119195,0 days 00:00:22.119195000,22.119195,55,19,55,dark pink
brown,#6d483d,2020-02-18 15:44:52.000000,2020-02-18 15:45:00.389149,0 days 00:00:08.389149000,8.389149,109,72,61,brown
navy blue,#0754ff,2020-02-18 15:44:21.000000,2020-02-18 15:45:00.676079,0 days 00:00:39.676079000,39.676079,7,84,255,navy blue
purple black,#1e0434,2020-02-18 15:44:45.000000,2020-02-18 15:45:01.161934,0 days 00:00:16.161934000,16.161934,30,4,52,purple black
jasmine,#99d701,2020-02-18 15:44:55.000000,2020-02-18 15:45:03.607536,0 days 00:00:08.607536000,8.607536,153,215,1,jasmine
deep brown,#3e2402,2020-02-18 15:44:46.000000,2020-02-18 15:45:05.908140,0 days 00:00:19.908140000,19.90814,62,36,2,deep brown
yellowish green,#efed78,2020-02-18 15:44:34.000000,2020-02-18 15:45:06.771984,0 days 00:00:32.771984000,32.771984,239,237,120,yellowish green
green-black,#0e220e,2020-02-18 15:44:15.000000,2020-02-18 15:45:06.957286,0 days 00:00:51.957286000,51.957286,14,34,14,green black
blue green,#1ad5bf,2020-02-18 15:44:48.000000,2020-02-18 15:45:07.364982,0 days 00:00:19.364982000,19.364982,26,213,191,blue green
mauve,#ba00be,2020-02-18 15:44:58.000000,2020-02-18 15:45:09.614250,0 days 00:00:11.614250000,11.61425,186,0,190,mauve
red/purple,#ff007b,2020-02-18 15:44:50.000000,2020-02-18 15:45:11.313344,0 days 00:00:21.313344000,21.313344,255,0,123,red/purple
deep blue-black,#271c7d,2020-02-18 15:44:47.000000,2020-02-18 15:45:12.260266,0 days 00:00:25.260266000,25.260266,39,28,125,deep blue black
black red,#b50909,2020-02-18 15:44:58.000000,2020-02-18 15:45:12.326764,0 days 00:00:14.326764000,14.326764,181,9,9,black red
blue,#002aff,2020-02-18 15:44:25.000000,2020-02-18 15:45:14.032192,0 days 00:00:49.032192000,49.032192,0,42,255,blue
lilac,#8d1cf5,2020-02-18 15:45:03.000000,2020-02-18 15:45:14.077141,0 days 00:00:11.077141000,11.077141,141,28,245,lilac
greenish-blue,#17aea7,2020-02-18 15:44:44.000000,2020-02-18 15:45:14.163242,0 days 00:00:30.163242000,30.163242,23,174,167,greenish blue
orange-yellow,#ffb000,2020-02-18 15:44:32.000000,2020-02-18 15:45:14.508402,0 days 00:00:42.508402000,42.508402,255,176,0,orange yellow
claybank,#ac9a9a,2020-02-18 15:44:14.000000,2020-02-18 15:45:17.063955,0 days 00:01:03.063955000,63.063955,172,154,154,claybank
green/brown,#333c36,2020-02-18 15:45:01.000000,2020-02-18 15:45:17.474322,0 days 00:00:16.474322000,16.474322,51,60,54,green/brown
yellow,#e2f60b,2020-02-18 15:44:32.000000,2020-02-18 15:45:18.202049,0 days 00:00:46.202049000,46.202049,226,246,11,yellow
primrose yellow,#dddd46,2020-02-18 15:44:14.000000,2020-02-18 15:45:19.584036,0 days 00:01:05.584036000,65.584036,221,221,70,primrose yellow
azure,#A02C7D,2020-02-18 15:45:17.000000,2020-02-18 15:45:20.478682,0 days 00:00:03.478682000,3.478682,160,44,125,azure
reddish purple,#50153b,2020-02-18 15:44:55.000000,2020-02-18 15:45:21.672572,0 days 00:00:26.672572000,26.672572,80,21,59,reddish purple
translucent,#dbd5b1,2020-02-18 15:44:59.000000,2020-02-18 15:45:21.704703,0 days 00:00:22.704703000,22.704703,219,213,177,translucent
grey,#868b8a,2020-02-18 15:44:49.000000,2020-02-18 15:45:22.021826,0 days 00:00:33.021826000,33.021826,134,139,138,grey
yellow-orange,#e5ad23,2020-02-18 15:44:57.000000,2020-02-18 15:45:22.544756,0 days 00:00:25.544756000,25.544756,229,173,35,yellow orange
black green,#003c0e,2020-02-18 15:45:14.000000,2020-02-18 15:45:23.229659,0 days 00:00:09.229659000,9.229659,0,60,14,black green
purple,#7800ff,2020-02-18 15:45:14.000000,2020-02-18 15:45:23.611935,0 days 00:00:09.611935000,9.611935,120,0,255,purple
red-yellow,#f64908,2020-02-18 15:45:05.000000,2020-02-18 15:45:23.621313,0 days 00:00:18.621313000,18.621313,246,73,8,red yellow
pink-purple,#f4638f,2020-02-18 15:45:06.000000,2020-02-18 15:45:23.717923,0 days 00:00:17.717923000,17.717923,244,99,143,pink purple
brown,#a55c12,2020-02-18 15:45:11.000000,2020-02-18 15:45:24.377341,0 days 00:00:13.377341000,13.377341,165,92,18,brown
greenish green,#45c41c,2020-02-18 15:45:07.000000,2020-02-18 15:45:25.030293,0 days 00:00:18.030293000,18.030293,69,196,28,greenish green
deep green,#0a7a1d,2020-02-18 15:45:09.000000,2020-02-18 15:45:25.051575,0 days 00:00:16.051575000,16.051575,10,122,29,deep green
dull dark black,#000000,2020-02-18 15:44:31.000000,2020-02-18 15:45:26.192772,0 days 00:00:55.192772000,55.192772,0,0,0,dull dark black
orange red,#b3550e,2020-02-18 15:44:48.000000,2020-02-18 15:45:26.343659,0 days 00:00:38.343659000,38.343659,179,85,14,orange red
red-orange,#e73a0f,2020-02-18 15:44:48.000000,2020-02-18 15:45:26.834957,0 days 00:00:38.834957000,38.834957,231,58,15,red orange
black green,#042c0b,2020-02-18 15:44:58.000000,2020-02-18 15:45:27.923765,0 days 00:00:29.923765000,29.923765,4,44,11,black green
intense violet,#701d98,2020-02-18 15:45:12.000000,2020-02-18 15:45:28.475189,0 days 00:00:16.475189000,16.475189,112,29,152,intense violet
black brown,#523703,2020-02-18 15:44:54.000000,2020-02-18 15:45:28.636057,0 days 00:00:34.636057000,34.636057,82,55,3,black brown
bluish violet,#3604f9,2020-02-18 15:45:00.000000,2020-02-18 15:45:28.932471,0 days 00:00:28.932471000,28.932471,54,4,249,bluish violet
bluish violet,#4e20cc,2020-02-18 15:44:56.000000,2020-02-18 15:45:29.020027,0 days 00:00:33.020027000,33.020027,78,32,204,bluish violet
brown orange,#a06f06,2020-02-18 15:45:14.000000,2020-02-18 15:45:30.323304,0 days 00:00:16.323304000,16.323304,160,111,6,brown orange
dark orange,#ff3b02,2020-02-18 15:44:28.000000,2020-02-18 15:45:30.589357,0 days 00:01:02.589357000,62.589357,255,59,2,dark orange
reddish purple,#e42173,2020-02-18 15:44:54.000000,2020-02-18 15:45:30.731606,0 days 00:00:36.731606000,36.731606,228,33,115,reddish purple
black green,#037944,2020-02-18 15:45:17.000000,2020-02-18 15:45:30.795127,0 days 00:00:13.795127000,13.795127,3,121,68,black green
scarlet,#df0909,2020-02-18 15:45:12.000000,2020-02-18 15:45:30.875879,0 days 00:00:18.875879000,18.875879,223,9,9,scarlet
pale straw,#478DB7,2020-02-18 15:45:23.000000,2020-02-18 15:45:32.070661,0 days 00:00:09.070661000,9.070661,71,141,183,pale straw
light purple,#be99f0,2020-02-18 15:45:21.000000,2020-02-18 15:45:32.800698,0 days 00:00:11.800698000,11.800698,190,153,240,light purple
dark red,#6f0e0e,2020-02-18 15:45:25.000000,2020-02-18 15:45:33.773715,0 days 00:00:08.773715000,8.773715,111,14,14,dark red
violet-red,#741445,2020-02-18 15:45:23.000000,2020-02-18 15:45:33.971124,0 days 00:00:10.971124000,10.971124,116,20,69,violet red
deep red,#a40a16,2020-02-18 15:45:26.000000,2020-02-18 15:45:34.941972,0 days 00:00:08.941972000,8.941972,164,10,22,deep red
turquoise,#44aa7d,2020-02-18 15:45:27.000000,2020-02-18 15:45:35.350102,0 days 00:00:08.350102000,8.350102,68,170,125,turquoise
deep blue,#0500ff,2020-02-18 15:45:23.000000,2020-02-18 15:45:35.736215,0 days 00:00:12.736215000,12.736215,5,0,255,deep blue
