color_string,hex,starttime,time_stamp,delta_t,delta_t_seconds,r,g,b,clean_name
deep yellow,#fbd402,2020-02-10 17:28:09.000000,2020-02-10 17:28:21.299058,0 days 00:00:12.299058000,12.299058,251,212,2,deep yellow
deep brown,#3f2101,2020-02-10 17:28:21.000000,2020-02-10 17:28:31.609212,0 days 00:00:10.609212000,10.609212,63,33,1,deep brown
dark yellow,#fbd702,2020-02-10 17:28:31.000000,2020-02-10 17:28:43.585281,0 days 00:00:12.585281000,12.585281,251,215,2,dark yellow
green-blue,#65eaba,2020-02-10 18:08:36.000000,2020-02-10 18:09:07.550531,0 days 00:00:31.550531000,31.550531,101,234,186,green blue
navy blue,#2508be,2020-02-10 18:09:07.000000,2020-02-10 18:09:24.473302,0 days 00:00:17.473302000,17.473302,37,8,190,navy blue
pale violet,#ea6ebe,2020-02-10 18:09:24.000000,2020-02-10 18:09:39.749069,0 days 00:00:15.749069000,15.749069,234,110,190,pale violet
deep red,#f70404,2020-02-10 18:09:39.000000,2020-02-10 18:09:50.580533,0 days 00:00:11.580533000,11.580533,247,4,4,deep red
orange yellow,#e9ca0f,2020-02-10 18:09:50.000000,2020-02-10 18:09:58.601393,0 days 00:00:08.601393000,8.601393,233,202,15,orange yellow
purple black,#24010d,2020-02-10 18:15:06.000000,2020-02-10 18:15:35.346734,0 days 00:00:29.346734000,29.346734,36,1,13,purple black
amber,#ef7409,2020-02-10 18:15:35.000000,2020-02-10 18:16:49.505128,0 days 00:01:14.505128000,74.505128,239,116,9,amber
purple,#c02ef0,2020-02-10 18:16:49.000000,2020-02-10 18:16:59.179961,0 days 00:00:10.179961000,10.179961,192,46,240,purple
bright yellow,#efd90d,2020-02-10 18:16:59.000000,2020-02-10 18:17:17.864263,0 days 00:00:18.864263000,18.864263,239,217,13,bright yellow
intense violet,#480c56,2020-02-10 18:17:17.000000,2020-02-10 18:18:11.774089,0 days 00:00:54.774089000,54.774089,72,12,86,intense violet
yellowish green,#b9da30,2020-02-10 19:49:22.000000,2020-02-10 19:50:00.424955,0 days 00:00:38.424955000,38.424955,185,218,48,yellowish green
